t,u1,u2,zT1,zT2
0.01175,0.0,1.0,6.398997766495283e-07,1.2305278797438376e-06
0.012,0.0,1.0,7.076172574082608e-07,1.2655199439669514e-06
0.01225,0.0,1.0,6.742956760448788e-07,1.234035652978343e-06
0.0125,0.0,1.0,7.199970419216735e-07,1.2088820343573291e-06
0.012750000000000001,0.0,1.0,6.692448518889588e-07,1.1583002051879509e-06
0.013000000000000001,0.0,1.0,6.334472381694473e-07,1.2121214933880056e-06
0.01325,0.0,1.0,6.305199270187325e-07,1.159964417271907e-06
0.0135,0.0,1.0,6.703470888938892e-07,1.1416809140628298e-06
0.01375,0.0,1.0,6.29439759251109e-07,1.1172961155090434e-06
0.014,0.0,1.0,5.782231790851464e-07,1.0558292818480533e-06
0.01425,0.0,1.0,5.958198341055772e-07,1.143185829864465e-06
0.0145,0.0,1.0,5.711401289034439e-07,1.1479764808014061e-06
0.014750000000000001,0.0,1.0,5.083491502009495e-07,1.1277995910381448e-06
0.015,0.0,1.0,5.706428730170234e-07,1.0924165606596657e-06
0.01525,0.0,1.0,5.193314085092769e-07,1.0940884072564064e-06
0.0155,0.0,1.0,4.7364763162980827e-07,1.021101655136266e-06
0.01575,0.0,1.0,4.181354921826143e-07,9.894671540027485e-07
0.016,0.0,1.0,4.0373909948507163e-07,9.939958337296835e-07
0.01625,0.0,1.0,3.815034246634708e-07,1.0003499730599832e-06
0.0165,0.0,1.0,3.331081368354289e-07,9.43725956797938e-07
0.01675,0.0,1.0,3.4812870443929764e-07,9.914924656105801e-07
0.017,0.0,1.0,3.035438226430964e-07,9.595972624454876e-07
0.01725,0.0,1.0,2.5963964868001897e-07,9.125554002520424e-07
0.0175,0.0,1.0,1.862791697022309e-07,8.586899258574161e-07
0.017750000000000002,0.0,1.0,2.1289724420515918e-07,8.975551386281323e-07
0.018000000000000002,0.0,1.0,1.6080364120607556e-07,8.387527036677474e-07
0.01825,0.0,1.0,2.0504959374983402e-07,8.123856535561365e-07
0.0185,0.0,1.0,8.285731465934183e-08,7.3685968240151e-07
0.01875,0.0,1.0,8.846387775850775e-08,8.161671244514746e-07
0.019,0.0,1.0,1.1397678269550197e-07,7.479432202105777e-07
0.01925,0.0,1.0,8.607906927434685e-08,7.653842037591407e-07
0.0195,0.0,1.0,-1.2296499925695286e-10,6.926755822251965e-07
0.01975,0.0,1.0,3.4393831567246324e-08,6.88822869355072e-07
0.02,0.0,1.0,3.920638222142706e-08,6.736016698551047e-07
0.02025,0.0,1.0,3.9281997285939843e-08,6.887264676919968e-07
0.0205,0.0,1.0,-3.901320991828008e-08,6.179315928441888e-07
0.02075,0.0,1.0,8.911310321305007e-09,6.085412874195864e-07
0.021,0.0,1.0,-1.4197812142412631e-08,5.828576632222558e-07
0.02125,0.0,1.0,-6.2923896107896044e-09,5.51283086205995e-07
0.021500000000000002,0.0,1.0,-1.2869257556083357e-08,5.921090653338173e-07
0.021750000000000002,0.0,1.0,-2.1104697026819858e-08,5.040234221603929e-07
0.022,0.0,1.0,-1.645915591621428e-09,5.094616003882885e-07
0.02225,0.0,1.0,-2.5113067087602125e-08,5.272233559508118e-07
0.0225,0.0,1.0,5.252489631137047e-09,5.527785654568784e-07
0.02275,0.0,1.0,-2.3173210695686522e-09,5.127101881391136e-07
0.023,0.0,1.0,-2.3963583508286113e-10,4.988472498857033e-07
0.02325,0.0,1.0,-1.77021313502219e-08,4.319379178256831e-07
0.0235,0.0,1.0,1.3242350371280327e-08,4.629972878643378e-07
0.02375,0.0,1.0,6.840606572338483e-08,4.867488285704768e-07
0.024,0.0,1.0,3.921398251692186e-08,4.209809439136496e-07
0.02425,0.0,1.0,4.6432211266154586e-08,4.836720733045424e-07
0.0245,0.0,1.0,1.07866374349936e-08,4.956119572139805e-07
0.02475,0.0,1.0,9.144070976305444e-08,5.060043627709373e-07
